NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PAT,2PA,2P%,2PM,3PAT,3PA,3P%,3PM,FGA,FGM,FG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,FTM,PER_n,PER,eFG%
Greivis Vasquez,Sac,PG,27,18,25.6,51.6,18.3,0.141,32,0.938,100,5.555555556,0.49,2.722222222,50,2.777777778,0.32,0.888888889,8.333333333,3.611111111,0.433333333,0.536,9.8,1.9,4.2,5.3,33.1,0.33,0.06,7.2,1.667555556,19.38327855,14.14979334,0.486666667
Greivis Vasquez,Tor,SG,27,61,21.3,43.6,22.4,0.157,76,0.855,269,4.409836066,0.442,1.949147541,239,3.918032787,0.389,1.524114754,8.327868852,3.473262295,0.417064961,0.537,9.5,2.3,6.2,3.7,29.9,0.41,0.07,8.1,1.065245902,20.21738217,14.75868898,0.50857185
Jan Vesely,Was,PF,23,33,14,27.9,12.4,0.173,30,0.267,92,2.787878788,0.522,1.455272727,0,0,0,0,2.787878788,1.455272727,0.522,0.494,3.2,3.4,14.1,0.3,3.4,0.79,0.58,4.2,0.242727273,14.84335199,10.83564696,0.522
Jan Vesely,Den,PF,23,21,14.4,29.5,15,0.132,26,0.423,81,3.857142857,0.506,1.951714286,0,0,0,0,3.857142857,1.951714286,0.506,0.503,4.4,3.7,13.9,0.5,5.5,1.29,0.76,5.6,0.523714286,20.46914503,14.94247587,0.506
Charlie Villanueva,Det,PF,29,20,8.8,18,25.5,0.067,14,0.571,36,1.8,0.583,1.0494,56,2.8,0.25,0.7,4.6,1.7494,0.380304348,0.469,4.6,1.7,10.5,0.3,5.6,0.2,0.25,6,0.3997,15.72086279,11.47622984,0.456391304
Nikola Vucevic,Orl,C,23,57,31.6,64.5,22,0.129,137,0.766,696,12.21052632,0.507,6.190736842,0,0,0,0,12.21052632,6.190736842,0.507,0.536,14.2,11,19.7,1.8,10.3,1.05,0.82,8.3,1.841087719,24.80020956,18.10415298,0.507
Sasha Vujacic,Lac,SG,29,2,5.1,9.2,34.5,0.375,0,0,3,1.5,0.333,0.4995,2,1,0.5,0.5,2.5,0.9995,0.3998,0.5,2.5,1.5,16.3,0,0,0.5,0,0,0,0,0,0.4998
Dwyane Wade,Mia,SG,32,54,32.7,67.1,28,0.156,258,0.733,728,13.48148148,0.558,7.522666667,32,0.592592593,0.281,0.166518519,14.07407407,7.689185185,0.546336842,0.588,19,4.5,8.6,4.7,25.8,1.46,0.54,9,3.502111111,30.01142639,21.90834127,0.552252632
Dion Waiters,Cle,SG,22,70,29.4,60.4,27.1,0.123,235,0.685,743,10.61428571,0.455,4.8295,249,3.557142857,0.369,1.312585714,14.17142857,6.142085714,0.433413306,0.508,15.9,2.8,5.3,3,18.5,0.9,0.24,7,2.299642857,21.25468081,15.51591699,0.479724294
Kemba Walker,Cha,PG,23,73,35.6,73.2,26,0.116,337,0.837,816,11.17808219,0.417,4.661260274,327,4.479452055,0.333,1.491657534,15.65753425,6.152917808,0.392968504,0.499,17.7,4.2,6.6,6.1,29.9,1.18,0.44,8.6,3.863958904,23.67550713,17.28312021,0.440602362
John Wall,Was,PG,23,82,36.1,73.9,27.5,0.163,394,0.805,1029,12.54878049,0.458,5.747341463,308,3.756097561,0.351,1.318390244,16.30487805,7.065731707,0.433350785,0.524,19.3,4.1,6.5,8.8,40.7,1.82,0.48,9.8,3.867926829,29.096058,21.24012234,0.473780105
Gerald Wallace,Bos,SF,31,58,24.2,50.3,11.7,0.261,101,0.465,166,2.862068966,0.584,1.671448276,64,1.103448276,0.297,0.327724138,3.965517241,1.999172414,0.50413913,0.543,5.1,3.7,8.6,2.5,15.1,1.26,0.24,6,0.809741379,15.68293758,11.44854443,0.54546087
Casper Ware,Phi,PG,24,9,12.7,24.4,18.5,0.101,6,0.833,21,2.333333333,0.524,1.222666667,21,2.333333333,0.333,0.777,4.666666667,1.999666667,0.4285,0.538,5.3,1,4.3,1.1,14.1,0.89,0,5.7,0.555333333,17.38610958,12.69186,0.51175
