NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PAT,2PA,2P%,2PM,3PAT,3PA,3P%,3PM,FGA,FGM,FG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,VI,BPG,FTM,PER_n,PER,eFG%
Jordan Crawford,Was,SG,24,43,26,53.3,26.6,0.149,106,0.821,337,7.837209302,0.451,3.534581395,171,3.976744186,0.345,1.371976744,11.81395349,4.90655814,0.415318898,0.512,13.2,3.1,6.7,3.6,25.6,0.12,8.1,0.63,2.023860465,19.16593967,15.92496244,0.473384842
Jordan Crawford,Bos,SG,24,27,21.4,41.9,23.3,0.155,53,0.792,142,5.259259259,0.465,2.445555556,75,2.777777778,0.32,0.888888889,8.037037037,3.334444444,0.414884793,0.512,9.1,2.7,7.6,2.5,19.6,0.07,7.4,0.44,1.554666667,16.16511956,13.43158365,0.470184332
Jordan Hill,Lal,C,25,29,15.6,32.2,20.4,0.125,61,0.656,153,5.275862069,0.503,2.653758621,2,0.068965517,0,0,5.344827586,2.653758621,0.496509677,0.533,6.7,5.7,20.2,0.4,4.8,0.66,6.4,0.28,1.379862069,20.88358965,17.3521563,0.496509677
Jose Barea,Min,PG,28,74,22.9,47.7,25.3,0.151,134,0.784,477,6.445945946,0.459,2.958689189,280,3.783783784,0.346,1.309189189,10.22972973,4.267878378,0.417203435,0.511,11.3,2.8,7,4,30.9,0.01,8.8,0.43,1.419675676,19.36265936,16.08841666,0.481192867
Jose Calderon,Tor,PG,31,45,28.1,57,18.2,0.151,52,0.904,214,4.755555556,0.505,2.401555556,184,4.088888889,0.429,1.754133333,8.844444444,4.155688889,0.469864322,0.594,11.1,2.4,5,7.4,44,0.13,8.3,0.62,1.044622222,21.97478784,18.25883192,0.569030151
Jose Calderon,Det,PG,31,28,31.4,64.3,15.5,0.17,28,0.893,139,4.964285714,0.532,2.641,98,3.5,0.52,1.82,8.464285714,4.461,0.527037975,0.654,11.6,2.5,4.6,6.6,34.4,0.07,7.3,1.07,0.893,20.88266745,17.35139005,0.634548523
Josh Howard,Min,SF,32,11,18.8,38.3,20,0.108,12,0.583,61,5.545454545,0.426,2.362363636,16,1.454545455,0.313,0.455272727,7,2.817636364,0.402519481,0.45,6.7,3.3,10,0.4,3.3,0.27,4.4,0.91,0.636,11.93988637,9.920841105,0.435038961
Josh McRoberts,Orl,PF,25,41,16.5,34.1,13,0.144,30,0.733,98,2.390243902,0.439,1.049317073,55,1.341463415,0.309,0.414512195,3.731707317,1.463829268,0.392267974,0.478,3.9,3.3,11.4,1.7,14.7,0.29,6.8,0.24,0.536341463,12.26255768,10.18894841,0.447807189
Josh McRoberts,Cha,PF,25,26,30.7,62.6,14.4,0.151,55,0.782,161,6.192307692,0.553,3.424346154,29,1.115384615,0.241,0.268807692,7.307692308,3.693153846,0.505378947,0.565,9.3,7.2,13.5,2.7,15,0.58,7.4,0.85,1.654230769,17.67705119,14.68784631,0.523771053
Josh Smith,Atl,PF,27,76,35.1,72.4,26.9,0.146,321,0.517,981,12.90789474,0.498,6.428131579,201,2.644736842,0.303,0.801355263,15.55263158,7.229486842,0.464840102,0.501,17.5,8.4,13.7,4.2,21.2,1.79,9.7,1.24,2.183644737,24.00145366,19.94278677,0.490602792
