NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PAT,2PA,2P%,2PM,3PAT,3PA,3P%,3PM,FGA,FGM,FG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,FTM,PER_n,PER,eFG%,,,,,,,,,,,,,,,,,,,,
A.J. Price,Cle,PG,28,11,7.9,16.4,21,0.076,6,0.667,23,2.090909091,0.391,0.817545455,11,1,0,0,3.090909091,0.817545455,0.2645,0.3,2,1.4,9.9,1.2,22.1,0.27,0,7.6,0.363818182,5.936559008,4.807060116,0.2645,,,,,,,,,,,,,,,,,,,,
A.J. Price,Ind,PG,28,10,19.3,40.2,25.4,0.094,18,0.667,50,5,0.48,2.4,39,3.9,0.385,1.5015,8.9,3.9015,0.438370787,0.542,10.5,1.4,4,2.7,25.3,0.4,0,7.1,1.2006,19.30008271,15.62801915,0.522724719,,,,,,,,,,,,,,,,,,,,
A.J. Price,Pho,PG,28,5,8.8,18.2,15.3,0.067,0,0,7,1.4,0.429,0.6006,7,1.4,0,0,2.8,0.6006,0.2145,0.214,1.2,0.6,3.8,1.2,18.8,0,0,4.3,0,-1.795922886,-1.454227822,0.2145,,,,,,,,,,,,,,,,,,,,
Aaron Brooks,Chi,PG,30,82,23,47.9,25.4,0.149,174,0.833,504,6.146341463,0.442,2.716682927,313,3.817073171,0.387,1.477207317,9.963414634,4.193890244,0.420929009,0.534,11.6,2,4.8,3.2,24.2,0.66,0.18,7.3,1.767585366,19.54656514,15.82760545,0.495060588,,,,,,,,,,,,,,,,,,,,
Aaron Gordon,Orl,PF,19,47,17,35.3,15.8,0.139,61,0.721,160,3.404255319,0.5,1.70212766,48,1.021276596,0.271,0.276765957,4.425531915,1.978893617,0.447153846,0.517,5.2,3.6,12,0.7,6.3,0.45,0.47,5.5,0.935765957,13.9513598,11.29695252,0.478423077,,,,,,,,,,,,,,,,,,,,
Adreian Payne,Atl,PF,23,3,6.4,13.3,19,0,2,0.5,6,2,0.333,0.666,1,0.333333333,0,0,2.333333333,0.666,0.285428571,0.317,1.7,1.3,11.9,0,0,0.33,0,0,0.333333333,0,0,0.285428571,,,,,,,,,,,,,,,,,,,,
Adreian Payne,Min,PF,23,29,24.8,51.8,17.1,0.159,44,0.659,205,7.068965517,0.429,3.032586207,8,0.275862069,0.125,0.034482759,7.344827586,3.067068966,0.41758216,0.448,7.2,5.4,12.5,1,6.6,0.62,0.31,5.5,0.999862069,12.09891079,9.796953327,0.419929577,,,,,,,,,,,,,,,,,,,,
Al Horford,Atl,C,28,76,30.5,63.5,22.6,0.089,141,0.759,929,12.22368421,0.547,6.686355263,36,0.473684211,0.306,0.144947368,12.69736842,6.831302632,0.538009326,0.563,15.2,7.2,13.4,3.2,18.6,0.89,1.28,9.2,1.408144737,24.83778981,20.11211353,0.543717098,,,,,,,,,,,,,,,,,,,,
Al Jefferson,Cha,C,30,65,30.6,63.8,26.7,0.059,165,0.655,1005,15.46153846,0.482,7.452461538,5,0.076923077,0.4,0.030769231,15.53846154,7.483230769,0.481594059,0.5,16.6,8.4,15.2,1.7,11.6,0.72,1.29,8.1,1.662692308,22.58978426,18.29181699,0.482584158,,,,,,,,,,,,,,,,,,,,
Alan Anderson,Bro,SG,32,74,23.6,49.1,14.4,0.11,101,0.812,229,3.094594595,0.528,1.633945946,210,2.837837838,0.348,0.987567568,5.932432432,2.621513514,0.441895216,0.562,7.3,2.8,6.6,1.1,7.3,0.76,0.07,4.8,1.10827027,12.80207261,10.36633049,0.525129841,,,,,,,,,,,,,,,,,,,,
Alec Burks,Uta,SG,23,27,33.3,69.4,21.2,0.127,129,0.822,232,8.592592593,0.409,3.51437037,68,2.518518519,0.382,0.962074074,11.11111111,4.476444444,0.40288,0.524,13.9,4.2,7.3,3,15.2,0.63,0.19,6.7,3.927333333,16.38811252,13.2700849,0.446173333,,,,,,,,,,,,,,,,,,,,
Alex Len,Pho,C,21,69,22,45.8,13.9,0.157,104,0.702,350,5.072463768,0.509,2.581884058,3,0.043478261,0.333,0.014478261,5.115942029,2.596362319,0.507504249,0.542,6.3,6.6,16.4,0.5,3.1,0.49,1.52,5,1.058086957,17.34024368,14.04106211,0.508919263,,,,,,,,,,,,,,,,,,,,
Alexey Shved,Hou,SG,26,9,6.6,13.7,25.2,0.148,11,0.818,12,1.333333333,0.333,0.444,12,1.333333333,0.333,0.444,2.666666667,0.888,0.333,0.503,3.2,0.4,3.7,0.3,8.1,0.11,0,4.4,0.999777778,9.241021625,7.482810569,0.41625,,,,,,,,,,,,,,,,,,,,
Alexey Shved,Phi,SG,26,17,16.8,34.9,26.9,0.104,57,0.842,73,4.294117647,0.479,2.056882353,57,3.352941176,0.298,0.999176471,7.647058824,3.056058824,0.399638462,0.545,9.9,1.3,4.2,2.7,31.3,0.82,0.06,7.8,2.823176471,23.2204219,18.80246854,0.464969231,,,,,,,,,,,,,,,,,,,,
Alexey Shved,Nyk,SG,26,16,26.4,55.1,26.7,0.103,82,0.78,111,6.9375,0.423,2.9345625,70,4.375,0.371,1.623125,11.3125,4.5576875,0.402889503,0.544,14.8,4.6,10,3.6,24.3,0.94,0.31,9.5,3.9975,23.92389566,19.37209829,0.474629834,,,,,,,,,,,,,,,,,,,,
Alexis Ajinca,Nor,C,26,68,14.1,29.3,21.5,0.156,99,0.818,329,4.838235294,0.55,2.661029412,0,0,0,0,4.838235294,2.661029412,0.55,0.595,6.5,4.6,18.7,0.7,8.2,0.31,0.75,7.8,1.190911765,23.57358117,19.08843518,0.55,,,,,,,,,,,,,,,,,,,,
Al-Farouq Aminu,Dal,SF,24,74,18.5,38.4,15.4,0.119,118,0.712,233,3.148648649,0.485,1.527094595,124,1.675675676,0.274,0.459135135,4.824324324,1.98622973,0.411711485,0.504,5.6,4.6,13.7,0.8,6.1,0.95,0.84,5.9,1.135351351,16.58642372,13.43066511,0.459296919,,,,,,,,,,,,,,,,,,,,
Allen Crabbe,Por,SG,22,51,13.4,27.9,11.6,0.086,16,0.75,68,1.333333333,0.485,0.646666667,85,1.666666667,0.353,0.588333333,3,1.235,0.411666667,0.525,3.3,1.4,5.7,0.8,8.1,0.37,0.29,4.6,0.235294118,9.792099517,7.929039529,0.509722222,,,,,,,,,,,,,,,,,,,,
Alonzo Gee,Den,SF,27,39,13.1,27.3,16.4,0.131,65,0.738,113,2.897435897,0.496,1.437128205,24,0.615384615,0.417,0.256615385,3.512820513,1.69374359,0.482160584,0.574,4.9,1.8,7.4,0.5,5.7,0.72,0.15,5,1.23,15.48768318,12.54097264,0.518686131,,,,,,,,,,,,,,,,,,,,
Alonzo Gee,Por,SF,27,15,10,20.9,18.7,0.128,12,0.5,38,2.533333333,0.474,1.2008,11,0.733333333,0.273,0.2002,3.266666667,1.401,0.428877551,0.47,3.4,1.6,8.5,0.4,6,0.47,0.07,5.2,0.4,11.03463978,8.935172162,0.459520408,,,,,,,,,,,,,,,,,,,,
Amar’e Stoudemire,Nyk,PF,32,36,24,50,23.2,0.147,127,0.74,308,8.555555556,0.549,4.697,3,0.083333333,0,0,8.638888889,4.697,0.54370418,0.589,12,6.8,16.4,1,8.1,0.56,0.94,7.2,2.610555556,23.84488495,19.30812029,0.54370418,,,,,,,,,,,,,,,,,,,,
Amar’e Stoudemire,Dal,PF,32,23,16.5,34.4,26.3,0.068,59,0.678,178,7.739130435,0.584,4.519652174,1,0.043478261,0,0,7.782608696,4.519652174,0.58073743,0.605,10.8,3.7,12.1,0.3,3.9,0.39,0.17,5.5,1.739217391,24.89942867,20.16202489,0.58073743,,,,,,,,,,,,,,,,,,,,
Amir Johnson,Tor,PF,27,75,26.4,55,15.9,0.16,129,0.612,473,6.306666667,0.59,3.720933333,46,0.613333333,0.413,0.253306667,6.92,3.97424,0.574312139,0.603,9.3,6.1,13.3,1.6,9.4,0.59,0.79,6.8,1.05264,18.75299053,15.18501757,0.592614644,,,,,,,,,,,,,,,,,,,,
Anderson Varejao,Cle,C,32,26,24.4,50.9,18.4,0.137,45,0.733,198,7.615384615,0.561,4.272230769,2,0.076923077,0,0,7.692307692,4.272230769,0.55539,0.58,9.8,6.5,15.3,1.3,9.1,0.73,0.62,7.1,1.268653846,20.60530817,16.68491039,0.55539,,,,,,,,,,,,,,,,,,,,
Andre Dawkins,Mia,SG,23,4,5.4,11.3,15.4,0.143,0,0,0,0,0,0,6,1.5,0.167,0.2505,1.5,0.2505,0.167,0.25,0.8,0.5,5.5,0.3,6.7,0,0,3.7,0,-5.467948926,-4.427608513,0.2505,,,,,,,,,,,,,,,,,,,,
Andre Drummond,Det,C,21,82,30.5,63.6,22.3,0.097,365,0.389,960,11.70731707,0.515,6.029268293,2,0.024390244,0,0,11.73170732,6.029268293,0.513929314,0.503,13.8,13.5,24,0.7,3.9,0.89,1.87,6.7,1.73152439,24.09467907,19.51038819,0.513929314,,,,,,,,,,,,,,,,,,,,
Andre Iguodala,Gol,SG,31,77,26.9,56,13.5,0.139,114,0.596,284,3.688311688,0.553,2.039636364,212,2.753246753,0.349,0.960883117,6.441558442,3.000519481,0.465806452,0.553,7.8,3.3,6.7,2.9,14.6,1.16,0.32,6.3,0.88238961,15.47552311,12.53112617,0.540391129,,,,,,,,,,,,,,,,,,,,
Andre Miller,Sac,PG,38,30,20.7,43.2,16,0.26,38,0.789,122,4.066666667,0.508,2.065866667,26,0.866666667,0.231,0.2002,4.933333333,2.266066667,0.459337838,0.522,5.7,2.5,6.9,4.7,34.9,0.6,0.13,7.8,0.9994,17.5538331,14.21401369,0.479628378,,,,,,,,,,,,,,,,,,,,
Andre Miller,Was,PG,38,51,12.4,25.8,15,0.224,39,0.718,134,2.62745098,0.567,1.489764706,8,0.156862745,0.125,0.019607843,2.784313725,1.509372549,0.542098592,0.575,3.6,1.5,6.9,2.8,34.1,0.27,0.04,8,0.549058824,17.24504675,13.9639775,0.545619718,,,,,,,,,,,,,,,,,,,,
Andre Roberson,Okc,SG,23,67,19.2,40,9.1,0.172,48,0.479,116,1.731343284,0.612,1.05958209,85,1.268656716,0.247,0.313358209,3,1.372940299,0.457646766,0.513,3.4,3.8,10.6,1,7.4,0.79,0.43,4.9,0.343164179,11.59293287,9.387243545,0.509873134,,,,,,,,,,,,,,,,,,,,
Andrea Bargnani,Nyk,C,29,29,27.1,56.4,26.8,0.093,107,0.813,320,11.03448276,0.466,5.142068966,41,1.413793103,0.366,0.517448276,12.44827586,5.659517241,0.454642659,0.527,14.8,4.4,9.3,1.6,11.3,0.07,0.93,6.9,2.999689655,19.66402308,15.92271566,0.475426593,,,,,,,,,,,,,,,,,,,,
Andrei Kirilenko,Bro,SF,33,7,5.2,10.8,9.9,0.129,4,0.75,5,0.714285714,0,0,0,0,0,0,0.714285714,0,0,0.222,0.4,1.1,12.3,0.1,3.6,0.14,0,2.7,0.428571429,-2.445383679,-1.980121201,0,,,,,,,,,,,,,,,,,,,,
Andrew Bogut,Gol,C,30,67,23.6,49.2,13.4,0.221,42,0.524,355,5.298507463,0.563,2.983059701,0,0,0,0,5.298507463,2.983059701,0.563,0.565,6.3,8.1,18.5,2.7,15.4,0.58,1.69,8.8,0.328477612,21.7474058,17.60971076,0.563,,,,,,,,,,,,,,,,,,,,
Andrew Nicholson,Orl,PF,25,40,12.3,25.6,21.1,0.107,25,0.6,149,3.725,0.47,1.75075,41,1.025,0.317,0.324925,4.75,2.075675,0.436984211,0.483,4.9,2.1,9.4,0.6,7.3,0.15,0.3,6,0.375,12.61201578,10.21243416,0.471186842,,,,,,,,,,,,,,,,,,,,
Andrew Wiggins,Min,SG,19,82,36.2,75.4,22.9,0.116,466,0.76,1013,12.35365854,0.452,5.583853659,126,1.536585366,0.31,0.476341463,13.8902439,6.060195122,0.436291484,0.516,16.9,4.5,7.2,2.1,9.8,1.04,0.61,6,4.31902439,17.45185368,14.13143703,0.453438104,,,,,,,,,,,,,,,,,,,,
Anthony Bennett,Min,PF,21,57,15.7,32.7,18,0.1,64,0.641,274,4.807017544,0.431,2.071824561,23,0.403508772,0.304,0.122666667,5.210526316,2.194491228,0.421164983,0.458,5.2,3.8,13.8,0.8,8.7,0.47,0.28,6.4,0.719719298,13.77820956,11.15674612,0.432936027,,,,,,,,,,,,,,,,,,,,
Anthony Davis,Nor,PF,21,68,36.1,75.2,28.3,0.063,461,0.805,1187,17.45588235,0.54,9.426176471,12,0.176470588,0.083,0.014647059,17.63235294,9.440823529,0.535426188,0.591,24.4,10.2,16.1,2.2,11.5,1.47,2.94,9.1,5.457426471,32.82897576,26.58288409,0.535841535,,,,,,,,,,,,,,,,,,,,
Anthony Morrow,Okc,SG,29,74,24.4,50.8,16.7,0.055,89,0.888,290,3.918918919,0.497,1.947702703,325,4.391891892,0.434,1.906081081,8.310810811,3.853783784,0.463707317,0.604,10.7,2.6,5.8,0.8,5.2,0.73,0.15,4.6,1.068,16.29925652,13.19813479,0.578382114,,,,,,,,,,,,,,,,,,,,
Anthony Tolliver,Det,PF,29,52,22.3,46.5,15,0.103,63,0.794,91,1.75,0.582,1.0185,228,4.384615385,0.36,1.578461538,6.134615385,2.596961538,0.423329154,0.58,7.7,3.7,9,0.9,6.5,0.38,0.29,5.3,0.961961538,14.20022651,11.49846947,0.551981191,,,,,,,,,,,,,,,,,,,,
Anthony Tolliver,Pho,PF,29,24,11.3,23.6,14.4,0.126,6,0.667,12,0.5,0.167,0.0835,62,2.583333333,0.387,0.99975,3.083333333,1.08325,0.351324324,0.522,3.3,1.8,8.9,0.4,5.2,0.17,0.04,4.7,0.16675,8.986978836,7.277102353,0.513445946,,,,,,,,,,,,,,,,,,,,
Archie Goodwin,Pho,SG,20,41,13,27.2,23.9,0.168,83,0.735,160,3.902439024,0.419,1.635121951,41,1,0.293,0.293,4.902439024,1.928121951,0.393298507,0.486,5.6,1.8,7.6,1.1,12.6,0.44,0.22,6.9,1.487926829,15.28615556,12.37778797,0.423181592,,,,,,,,,,,,,,,,,,,,
Arinze Onuaku,Min,C,27,6,11.4,23.7,12.8,0.102,8,0.375,14,2.333333333,0.857,1.999666667,0,0,0,0,2.333333333,1.999666667,0.857,0.771,4.5,3.5,17.6,0.7,10.1,0.17,0.5,7.8,0.5,22.97625486,18.6047571,0.857,,,,,,,,,,,,,,,,,,,,
Aron Baynes,San,C,28,70,16,33.4,18,0.148,104,0.865,323,4.614285714,0.57,2.630142857,4,0.057142857,0.25,0.014285714,4.671428571,2.644428571,0.566085627,0.618,6.6,4.5,16.1,0.5,4.9,0.23,0.31,6.1,1.285142857,19.51226979,15.79983518,0.567614679,,,,,,,,,,,,,,,,,,,,
Arron Afflalo,Den,SG,29,53,33,68.8,20.2,0.103,151,0.841,414,7.811320755,0.481,3.757245283,243,4.58490566,0.337,1.545113208,12.39622642,5.302358491,0.427739726,0.533,14.5,3.4,5.6,1.9,9.3,0.6,0.09,5.5,2.396056604,15.24535833,12.3447529,0.490061644,,,,,,,,,,,,,,,,,,,,
Arron Afflalo,Por,SG,29,25,30.1,62.7,16.9,0.118,47,0.851,137,5.48,0.423,2.31804,90,3.6,0.4,1.44,9.08,3.75804,0.413881057,0.533,10.6,2.7,4.8,1.1,5.5,0.36,0.08,4.2,1.59988,11.40242655,9.232983256,0.493176211,,,,,,,,,,,,,,,,,,,,
Austin Daye,San,SF,26,26,10.3,21.5,23,0.135,4,1,58,2.230769231,0.362,0.807538462,56,2.153846154,0.339,0.730153846,4.384615385,1.537692308,0.350701754,0.445,4,2.3,12.9,0.3,5.1,0.31,0.12,5.4,0.153846154,10.99658686,8.904359245,0.433964912,,,,,,,,,,,,,,,,,,,,
Austin Daye,Atl,SF,26,8,9.5,19.7,19.5,0.157,2,0.5,12,1.5,0.417,0.6255,14,1.75,0.357,0.62475,3.25,1.25025,0.384692308,0.484,3.3,1.8,10.6,1,16,0.5,0.25,7.6,0.125,14.87825487,12.0474951,0.480807692,,,,,,,,,,,,,,,,,,,,
Austin Rivers,Lac,PG,22,41,19.3,40.2,19.3,0.105,55,0.582,193,4.707317073,0.477,2.245390244,81,1.975609756,0.309,0.610463415,6.682926829,2.855853659,0.427335766,0.488,7.1,2,6,1.7,12.8,0.73,0.17,6,0.780731707,13.81234221,11.18438463,0.473009124,,,,,,,,,,,,,,,,,,,,
Austin Rivers,Nor,PG,22,35,22.1,45.9,17.1,0.106,71,0.746,172,4.914285714,0.419,2.059085714,50,1.428571429,0.28,0.4,6.342857143,2.459085714,0.387693694,0.472,6.8,1.9,5,2.5,16.7,0.51,0.2,5.8,1.513314286,12.18822896,9.869277679,0.419225225,,,,,,,,,,,,,,,,,,,,
Avery Bradley,Bos,SG,24,77,31.5,65.7,21.3,0.094,100,0.79,660,8.571428571,0.47,4.028571429,352,4.571428571,0.352,1.609142857,13.14285714,5.637714286,0.428956522,0.507,13.9,3.1,5.4,1.8,8.9,1.05,0.19,5.4,1.025974026,15.12577715,12.24792341,0.490173913,,,,,,,,,,,,,,,,,,,,
Ben Gordon,Orl,SG,31,56,14.1,29.4,22.1,0.145,67,0.836,198,3.535714286,0.475,1.679464286,97,1.732142857,0.361,0.625303571,5.267857143,2.304767857,0.437515254,0.538,6.2,1.1,4.5,0.9,10.3,0.25,0.02,5.2,1.000214286,13.57880458,10.99528023,0.496866102,,,,,,,,,,,,,,,,,,,,
Ben McLemore,Sac,SG,21,82,32.6,67.8,17.4,0.133,160,0.813,440,5.365853659,0.507,2.720487805,391,4.768292683,0.358,1.70704878,10.13414634,4.427536585,0.4368929,0.552,12.1,2.9,5.1,1.7,8.4,0.94,0.23,4.8,1.586341463,14.1068774,11.4228811,0.521115523,,,,,,,,,,,,,,,,,,,,
Beno Udrih,Mem,PG,32,79,18.9,39.4,19.9,0.139,102,0.853,408,5.164556962,0.539,2.783696203,97,1.227848101,0.268,0.329063291,6.392405063,3.112759494,0.486946535,0.55,7.7,1.8,5.5,2.8,24,0.58,0.1,7.2,1.101341772,18.04774034,14.61394937,0.512685149,,,,,,,,,,,,,,,,,,,,
Bernard James,Dal,C,29,16,9.9,20.5,12.4,0.139,23,0.87,27,1.6875,0.444,0.74925,0,0,0,0,1.6875,0.74925,0.444,0.593,2.8,2.4,13.6,0.3,3.4,0.13,0.94,5.1,1.250625,15.63036345,12.65650635,0.444,,,,,,,,,,,,,,,,,,,,
Bismack Biyombo,Cha,C,22,64,19.4,40.5,11.7,0.165,175,0.583,186,2.90625,0.543,1.57809375,0,0,0,0,2.90625,1.57809375,0.543,0.578,4.8,6.4,18,0.3,2,0.28,1.55,4.3,1.594140625,16.97267206,13.74342524,0.543,,,,,,,,,,,,,,,,,,,,
Blake Griffin,Lac,PF,25,67,35.2,73.3,28.8,0.102,427,0.728,1119,16.70149254,0.504,8.417552239,25,0.373134328,0.4,0.149253731,17.07462687,8.56680597,0.501727273,0.551,21.9,7.6,12.1,5.3,26.1,0.94,0.52,10.9,4.639641791,27.94837487,22.63087387,0.506097902,,,,,,,,,,,,,,,,,,,,
Bojan Bogdanovic,Bro,SF,25,78,23.8,49.5,17.5,0.111,106,0.821,320,4.102564103,0.531,2.178461538,256,3.282051282,0.355,1.165128205,7.384615385,3.343589744,0.452777778,0.562,9,2.7,6.4,0.9,5.8,0.44,0.12,4.7,1.115717949,13.48059679,10.91575761,0.531666667,,,,,,,,,,,,,,,,,,,,
Boris Diaw,San,PF,32,81,24.5,51,18.6,0.158,93,0.774,463,5.716049383,0.512,2.926617284,170,2.098765432,0.318,0.667407407,7.814814815,3.594024691,0.459898894,0.525,8.7,4.3,10,2.9,17.9,0.44,0.28,7.8,0.888666667,16.77842358,13.58613478,0.502600316,,,,,,,,,,,,,,,,,,,,
Bradley Beal,Was,SG,21,63,33.5,69.7,22.9,0.117,166,0.783,592,9.396825397,0.434,4.078222222,259,4.111111111,0.409,1.681444444,13.50793651,5.759666667,0.426391304,0.521,15.3,3.8,6.5,3.1,15,1.19,0.29,6.7,2.063142857,17.80274092,14.41556392,0.488630435,,,,,,,,,,,,,,,,,,,,
Brandan Wright,Bos,PF,27,8,10.7,22.3,14.4,0.18,4,0.5,21,2.625,0.571,1.498875,0,0,0,0,2.625,1.498875,0.571,0.571,3.3,2.1,10.9,1,14.1,0.13,0.63,7.1,0.25,15.84671699,12.83169612,0.571,,,,,,,,,,,,,,,,,,,,
Brandan Wright,Dal,PF,27,27,18.7,39,15.2,0.077,48,0.75,135,5,0.748,3.74,0,0,0,0,5,3.74,0.748,0.762,8.8,4.1,11.9,0.4,3.2,0.63,1.56,5.2,1.333333333,26.2451818,21.25173295,0.748,,,,,,,,,,,,,,,,,,,,
Brandan Wright,Pho,PF,27,40,21.5,44.7,13,0.064,60,0.667,204,5.1,0.588,2.9988,3,0.075,0,0,5.175,2.9988,0.579478261,0.6,7,4.9,12.4,0.6,4.1,0.8,1.18,5.1,1.0005,18.31073552,14.82690668,0.579478261,,,,,,,,,,,,,,,,,,,,
Brandon Bass,Bos,PF,29,82,23.5,49,19.8,0.096,214,0.79,651,7.93902439,0.515,4.088597561,32,0.390243902,0.281,0.109658537,8.329268293,4.198256098,0.504036603,0.557,10.6,4.9,11.3,1.3,8.6,0.51,0.39,6.9,2.061707317,19.26487813,15.59951265,0.510619327,,,,,,,,,,,,,,,,,,,,
Brandon Davies,Bro,PF,23,7,6.3,13.1,25,0.168,4,0.75,14,2,0.357,0.714,4,0.571428571,0.25,0.142857143,2.571428571,0.856857143,0.333222222,0.405,2.3,1.4,12.7,0.3,7.2,0.14,0.43,6.3,0.428571429,9.800914941,7.936177717,0.361,,,,,,,,,,,,,,,,,,,,
Brandon Davies,Phi,PF,23,20,18.9,39.5,18.6,0.158,33,0.636,89,4.45,0.472,2.1004,30,1.5,0.233,0.3495,5.95,2.4499,0.411747899,0.472,6.3,3.7,10.4,1.4,13,0.85,0.2,6.8,1.0494,14.73535511,11.93178368,0.441117647,,,,,,,,,,,,,,,,,,,,
Brandon Jennings,Det,PG,25,41,28.6,59.6,26.7,0.129,143,0.839,332,8.097560976,0.428,3.465756098,211,5.146341463,0.36,1.852682927,13.24390244,5.318439024,0.401576427,0.522,15.4,2.5,4.8,6.6,39.9,1.07,0.1,8.9,2.926268293,23.76241597,19.24134198,0.471521179,,,,,,,,,,,,,,,,,,,,
Brandon Knight,Mil,PG,23,52,32.5,67.6,27.1,0.167,194,0.881,491,9.442307692,0.448,4.230153846,254,4.884615385,0.409,1.997807692,14.32692308,6.227961538,0.434703356,0.556,17.8,4.3,7.5,5.4,28.6,1.62,0.17,9.2,3.286807692,24.89337121,20.15711993,0.504425503,,,,,,,,,,,,,,,,,,,,
Brandon Knight,Pho,PG,23,11,31.6,65.8,23,0.129,29,0.828,76,6.909090909,0.395,2.729090909,67,6.090909091,0.313,1.906454545,13,4.635545455,0.35658042,0.472,13.4,2.1,3.6,4.5,22.1,0.55,0.09,6.4,2.182909091,14.65767644,11.86888426,0.429905594,,,,,,,,,,,,,,,,,,,,
Brandon Rush,Gol,SG,29,33,8.2,17.1,11.4,0.158,11,0.455,27,0.818181818,0.296,0.242181818,27,0.818181818,0.111,0.090818182,1.636363636,0.333,0.2035,0.255,0.9,1.2,8.2,0.4,5.4,0.15,0.36,3.7,0.151666667,1.470450369,1.190680209,0.23125,,,,,,,,,,,,,,,,,,,,
Brendan Haywood,Cle,C,35,22,5.4,11.3,17.6,0.219,13,0.538,30,1.363636364,0.467,0.636818182,0,0,0,0,1.363636364,0.636818182,0.467,0.49,1.6,1.3,14,0.1,2.5,0.09,0.45,4.4,0.317909091,10.10682529,8.183885087,0.467,,,,,,,,,,,,,,,,,,,,
Brian Roberts,Cha,PG,29,72,18.5,38.5,18.8,0.105,74,0.892,259,3.597222222,0.44,1.582777778,193,2.680555556,0.321,0.860458333,6.277777778,2.443236111,0.389188053,0.495,6.7,1.5,4.5,2.3,20.3,0.44,0.08,6.2,0.916777778,13.49367022,10.92634367,0.457720133,,,,,,,,,,,,,,,,,,,,
Brook Lopez,Bro,C,26,72,29.2,60.8,26.7,0.086,274,0.814,977,13.56944444,0.517,7.015402778,10,0.138888889,0.1,0.013888889,13.70833333,7.029291667,0.512775076,0.558,17.2,7.4,14.3,0.7,4.5,0.6,1.75,6.1,3.097722222,24.99570634,20.23998462,0.513281662,,,,,,,,,,,,,,,,,,,,
Bryce Cotton,Uta,PG,22,15,10.6,22.1,26.1,0.135,18,0.833,49,3.266666667,0.449,1.466733333,20,1.333333333,0.35,0.466666667,4.6,1.9334,0.420304348,0.52,5.3,1.2,6.5,1,17,0.27,0,7,0.9996,15.97738215,12.93750073,0.471028986,,,,,,,,,,,,,,,,,,,,
Carl Landry,Sac,PF,31,70,17,35.5,18.4,0.11,150,0.82,369,5.271428571,0.515,2.714785714,0,0,0,0,5.271428571,2.714785714,0.515,0.578,7.2,3.8,12.8,0.4,3.6,0.21,0.24,5.2,1.757142857,17.16506304,13.89921162,0.515,,,,,,,,,,,,,,,,,,,,
Carlos Boozer,Lal,PF,33,71,23.8,49.6,24,0.103,150,0.627,743,10.46478873,0.499,5.221929577,0,0,0,0,10.46478873,5.221929577,0.499,0.517,11.8,6.8,15.7,1.3,10.3,0.58,0.17,7.9,1.324647887,20.59554678,16.67700622,0.499,,,,,,,,,,,,,,,,,,,,
Carmelo Anthony,Nyk,SF,30,40,35.7,74.4,32.7,0.089,237,0.797,627,15.675,0.474,7.42995,179,4.475,0.341,1.525975,20.15,8.955925,0.444462779,0.531,24.2,6.6,10.7,3.1,18,1,0.43,8.9,4.722225,25.16596884,20.37785272,0.482328164,,,,,,,,,,,,,,,,,,,,
Caron Butler,Det,SF,34,78,20.8,43.4,13.1,0.104,61,0.902,177,2.269230769,0.441,1.000730769,219,2.807692308,0.379,1.064115385,5.076923077,2.064846154,0.406712121,0.544,5.9,2.5,6.6,1,7.3,0.55,0.05,4.7,0.705410256,11.17093257,9.045533675,0.511511364,,,,,,,,,,,,,,,,,,,,
Cartier Martin,Det,SF,30,23,8.6,18,13.1,0.086,0,0,20,0.869565217,0.45,0.391304348,33,1.434782609,0.182,0.261130435,2.304347826,0.652434783,0.283132075,0.34,1.6,0.9,5.5,0.5,8,0.13,0.04,4.2,0,1.699800643,1.376393946,0.339792453,,,,,,,,,,,,,,,,,,,,
Chandler Parsons,Dal,SF,26,66,33.1,69,20.9,0.095,193,0.72,482,7.303030303,0.521,3.804878788,347,5.257575758,0.38,1.997878788,12.56060606,5.802757576,0.4619807,0.567,15.7,4.9,8.1,2.4,11.4,1.05,0.29,6.9,2.105454545,19.49517399,15.78599206,0.541510253,,,,,,,,,,,,,,,,,,,,
Channing Frye,Orl,PF,31,75,24.9,51.9,14.3,0.134,35,0.886,141,1.88,0.39,0.7332,346,4.613333333,0.393,1.81304,6.493333333,2.54624,0.392131417,0.546,7.3,3.9,8.9,1.3,7.4,0.63,0.52,5.4,0.413466667,13.154601,10.65178628,0.53173922,,,,,,,,,,,,,,,,,,,,
Charles Hayes,Tor,C,31,29,8.8,18.3,10.6,0.136,11,0.545,46,1.586206897,0.478,0.758206897,0,0,0,0,1.586206897,0.758206897,0.478,0.492,1.7,1.8,11.5,0.7,11.2,0.34,0.14,5.9,0.206724138,10.43333659,8.448273845,0.478,,,,,,,,,,,,,,,,,,,,
Charlie Villanueva,Dal,PF,30,64,10.6,22.1,27.1,0.069,35,0.571,141,2.203125,0.475,1.046484375,221,3.453125,0.376,1.298375,5.65625,2.344859375,0.414560773,0.534,6.3,2.3,12.1,0.3,4.7,0.23,0.34,6.2,0.312265625,18.96906776,15.35998361,0.529334254,,,,,,,,,,,,,,,,,,,,
