NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PAT,2PA,2P%,2PM,3PAT,3PA,3P%,3PM,FGA,FGM,FG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,FTM,PER_n,PER,eFG%,,,,,,,,,,,,,,,,,,,,
Nikola Vucevic,Orl,C,24,74,34.2,71.2,26.4,0.102,218,0.752,1200,16.21621622,0.524,8.497297297,6,0.081081081,0.333,0.027,16.2972973,8.524297297,0.523049751,0.548,19.3,10.9,18.1,2,11,0.73,0.73,8.8,2.215351351,25.31362147,20.49741273,0.523878109,,,,,,,,,,,,,,,,,,,,
Noah Vonleh,Cha,PF,19,25,10.3,21.5,17.6,0.112,26,0.692,63,2.52,0.397,1.00044,13,0.52,0.385,0.2002,3.04,1.20064,0.394947368,0.475,3.3,3.4,18.3,0.2,2.5,0.16,0.36,5.1,0.71968,13.48957394,10.92302675,0.427875,,,,,,,,,,,,,,,,,,,,
Norris Cole,Mia,PG,26,47,24.4,50.9,16,0.151,46,0.696,204,4.340425532,0.446,1.935829787,102,2.170212766,0.265,0.575106383,6.510638298,2.51093617,0.385666667,0.452,6.3,2.3,5.7,3.5,22.9,0.89,0.17,6.1,0.681191489,12.57370772,10.18141466,0.429833333,,,,,,,,,,,,,,,,,,,,
Norris Cole,Nor,PG,26,28,24.4,50.8,21,0.133,35,0.743,178,6.357142857,0.472,3.000571429,74,2.642857143,0.378,0.999,9,3.999571429,0.444396825,0.52,9.9,1.8,4.2,3.2,21.2,0.54,0.25,6.3,0.92875,16.03252734,12.98215391,0.499896825,,,,,,,,,,,,,,,,,,,,
O.J. Mayo,Mil,SG,27,71,23.9,49.8,24,0.144,139,0.827,424,5.971830986,0.465,2.776901408,276,3.887323944,0.359,1.395549296,9.85915493,4.172450704,0.423205714,0.529,11.4,2.6,6.3,2.8,19.4,0.8,0.25,7.3,1.619056338,18.82969263,15.24712621,0.49398,,,,,,,,,,,,,,,,,,,,
Omer Asik,Nor,C,28,76,26.1,54.3,14.2,0.157,225,0.582,412,5.421052632,0.517,2.802684211,0,0,0,0,5.421052632,2.802684211,0.517,0.545,7.3,9.8,21.4,1,5.5,0.38,0.71,6.4,1.723026316,17.70251178,14.33440453,0.517,,,,,,,,,,,,,,,,,,,,
Omri Casspi,Sac,SF,26,67,21.1,44,18.9,0.147,191,0.733,340,5.074626866,0.512,2.598208955,87,1.298507463,0.402,0.522,6.373134328,3.120208955,0.489587822,0.58,8.9,3.9,10.4,1.5,11.8,0.46,0.12,7.1,2.089597015,18.20277497,14.73948687,0.530540984,,,,,,,,,,,,,,,,,,,,
Otto Porter,Was,SF,21,74,19.4,40.3,15.4,0.109,79,0.734,287,3.878378378,0.491,1.904283784,104,1.405405405,0.337,0.473621622,5.283783784,2.377905405,0.450038363,0.523,6,3,8.7,0.9,6.8,0.59,0.41,5.2,0.783594595,13.2269719,10.71038778,0.494856777,,,,,,,,,,,,,,,,,,,,
Pablo Prigioni,Hou,PG,37,24,16.7,34.9,9.7,0.169,15,0.867,16,0.666666667,0.563,0.375333333,51,2.125,0.275,0.584375,2.791666667,0.959708333,0.343776119,0.496,3,1.6,5.4,2.8,23.6,1.13,0,5.7,0.541875,13.34577765,10.80658937,0.448440299,,,,,,,,,,,,,,,,,,,,
Pablo Prigioni,Nyk,PG,37,43,18.5,38.5,12.9,0.214,26,0.846,46,1.069767442,0.543,0.580883721,115,2.674418605,0.374,1.000232558,3.744186047,1.581116279,0.422285714,0.583,4.7,1.9,5.8,2.4,20.4,1.21,0.02,6,0.511534884,15.20272366,12.31022996,0.555857143,,,,,,,,,,,,,,,,,,,,
Patrick Beverley,Hou,PG,26,56,30.8,64.2,16.3,0.129,60,0.75,209,3.732142857,0.426,1.589892857,323,5.767857143,0.356,2.053357143,9.5,3.64325,0.3835,0.509,10.1,4.2,7.6,3.4,17.2,1.05,0.41,6.8,0.803571429,15.31285481,12.39940739,0.491571429,,,,,,,,,,,,,,,,,,,,
Patrick Christopher,Uta,SG,26,4,7.2,15,21.1,0.077,0,0,8,2,0.375,0.75,4,1,0,0,3,0.75,0.25,0.25,1.5,1.5,12.1,0,0,0.25,0,0,0,0,0,0.25,,,,,,,,,,,,,,,,,,,,
Patrick Patterson,Tor,PF,25,81,26.6,55.5,13.3,0.087,80,0.788,252,3.111111111,0.536,1.667555556,283,3.49382716,0.371,1.296209877,6.604938272,2.963765432,0.448719626,0.568,8,5.3,11.6,1.9,10.7,0.74,0.54,6.5,0.778271605,15.86301139,12.84489032,0.546843925,,,,,,,,,,,,,,,,,,,,
Patty Mills,San,PG,26,51,15.7,32.7,22.4,0.09,40,0.825,154,3.019607843,0.429,1.295411765,182,3.568627451,0.341,1.216901961,6.588235294,2.512313725,0.381333333,0.496,6.9,1.5,5.3,1.7,16.9,0.55,0.04,6.6,0.647058824,14.97110073,12.12267597,0.4736875,,,,,,,,,,,,,,,,,,,,
Pau Gasol,Chi,PF,34,78,34.4,71.6,25,0.107,366,0.803,1127,14.44871795,0.495,7.152115385,26,0.333333333,0.462,0.154,14.78205128,7.306115385,0.494255854,0.55,18.5,11.8,18.6,2.7,14.4,0.32,1.88,9.7,3.767923077,26.62013896,21.55535018,0.499464874,,,,,,,,,,,,,,,,,,,,
