NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PAT,2PA,2P%,2PM,3PAT,3PA,3P%,3PM,FGA,FGM,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,FTM,PER_n,PER,ORTG,DRTG,TOPG,eFG%
Tyler Dorsey,Atl,SG,21,56,17.4,36.2,20.1,0.083,63,0.714,183,3.267857143,0.393,1.284267857,200,3.571428571,0.36,1.285714286,6.839285714,2.569982143,0.47,0.493,7.2,2.3,7.4,1.4,12.5,0.3,0.09,6.6,0.80325,13.54503958,10.15877969,100.1,108.6,0.66,0.469762402
Tyler Ennis,Lal,PG,23,54,12.7,26.4,17.1,0.138,29,0.759,168,3.111111111,0.476,1.480888889,56,1.037037037,0.25,0.259259259,4.148148148,1.740148148,0.451,0.473,4.1,1.8,7.4,1.9,21.9,0.56,0.19,7.6,0.407611111,15.25639887,11.44229915,101,100.1,0.7,0.45075
Tyler Johnson,Mia,SG,25,72,28.5,59.4,18.6,0.095,129,0.822,387,5.375,0.491,2.639125,324,4.5,0.367,1.6515,9.875,4.290625,0.518,0.549,11.7,3.4,6.8,2.3,12.4,0.83,0.47,6.3,1.47275,16.90083686,12.67562764,108.9,103.7,1.13,0.518113924
Tyler Lydon,Den,PF,21,1,2.2,4.6,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,#DIV/0!
Tyler Ulis,Pho,PG,22,71,23.4,48.7,18.5,0.176,101,0.832,405,5.704225352,0.425,2.424295775,146,2.056338028,0.288,0.592225352,7.76056338,3.016521127,0.426,0.465,7.8,1.8,4.1,4.4,27.9,0.99,0.1,6.8,1.183549296,15.78748992,11.84061744,96.3,110.1,1.79,0.426854809
Tyler Zeller,Bro,C,28,42,16.7,34.8,17.9,0.121,60,0.667,203,4.833333333,0.567,2.7405,26,0.619047619,0.385,0.238333333,5.452380952,2.978833333,0.568,0.587,7.1,4.6,14.7,0.7,6.5,0.19,0.5,6.8,0.952857143,19.67499507,14.7562463,113.3,102,0.83,0.56819214
Tyler Zeller,Mil,C,28,24,16.9,35.2,14,0.096,19,0.895,103,4.291666667,0.602,2.583583333,2,0.083333333,0,0,4.375,2.583583333,0.59,0.622,5.9,4.6,16,0.8,7,0.29,0.54,6.6,0.708541667,18.68856648,14.01642486,130.6,101.6,0.5,0.590533333
Tyreke Evans,Mem,SF,28,52,30.9,64.4,28.4,0.115,209,0.785,523,10.05769231,0.482,4.847807692,286,5.5,0.399,2.1945,15.55769231,7.042307692,0.523,0.561,19.4,5.1,9.5,5.2,31.2,1.1,0.33,10.4,3.155096154,27.43319999,20.57489999,111.5,108.7,2.25,0.523185414
Tyrone Wallace,Lac,SG,23,30,28.4,59.1,16.6,0.141,78,0.782,207,6.9,0.483,3.3327,40,1.333333333,0.25,0.333333333,8.233333333,3.666033333,0.466,0.517,9.7,3.5,6.8,2.4,11.8,0.9,0.43,6.1,2.0332,15.09844722,11.32383541,102.3,104.2,1.53,0.465510121
Tyson Chandler,Pho,C,35,46,25,52.1,10.6,0.205,94,0.617,187,4.065217391,0.647,2.630195652,0,0,0,0,4.065217391,2.630195652,0.647,0.657,6.5,9.1,19.4,1.2,6.6,0.35,0.59,6.6,1.260826087,18.63940153,13.97955115,122.3,104.5,1.28,0.647
Tyus Jones,Min,PG,21,82,17.9,37.3,12.7,0.14,81,0.877,199,2.426829268,0.528,1.281365854,129,1.573170732,0.349,0.549036585,4,1.830402439,0.526,0.572,5.1,1.6,5.2,2.8,21.2,1.16,0.06,6.3,0.866304878,16.82553327,12.61914996,119.3,105.6,0.72,0.526230183
Udonis Haslem,Mia,PF,37,14,5.1,10.7,11.2,0.112,2,0.5,7,0.5,0.286,0.143,8,0.571428571,0.125,0.071428571,1.071428571,0.214428571,0.233,0.252,0.6,0.7,7.8,0.4,9.2,0,0.14,4.3,0.071428571,-2.111279265,-1.583459449,71.6,109.4,0.14,0.233466666
Vander Blue,Lal,G,25,5,9,18.7,8.4,0.338,2,0.5,3,0.6,0.333,0.1998,2,0.4,0,0,1,0.1998,0.2,0.255,0.6,0.2,1.2,0.6,8.2,0.2,0,1.8,0.2,-1.368019506,-1.02601463,51.8,110.7,0.6,0.1998
Victor Oladipo,Ind,SG,25,75,34,70.9,30.1,0.127,368,0.799,908,12.10666667,0.528,6.39232,434,5.786666667,0.371,2.146853333,17.89333333,8.539173333,0.537,0.577,23.1,5.2,8.6,4.3,21.2,2.35,0.76,9.4,3.920426667,30.27955877,22.70966908,109.7,102.3,2.92,0.537216841
