NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,Tor%,FTAT,FTA,FTM,FT%,2PAT,2PA,2PM,2P%,3PAT,3PA,3PM,3P%,FGA,FGM,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TO,VI,ORTG,DRTG,PER_n,PER
Svi Mykhailiuk,Det,G-F,23.93,36.00,17.60,36.70,19.00,14.20,30.00,0.83,0.67,0.80,52.00,1.44,0.75,0.52,171.00,4.75,1.58,0.33,6.19,2.33,0.50,0.53,6.90,2.10,6.50,1.60,13.50,0.75,0.17,1.08,6.50,99.40,110.90,12.29,9.22
Svi Mykhailiuk,Okc,G-F,23.93,30.00,23.00,47.90,21.00,14.40,20.00,0.67,0.47,0.70,140.00,4.67,2.53,0.54,143.00,4.77,1.60,0.34,9.43,4.14,0.52,0.53,10.30,3.00,6.70,1.80,12.30,0.80,0.20,1.63,6.60,96.60,113.30,13.37,10.03
Abdel Nader,Pho,F,27.64,24.00,14.80,30.80,19.00,12.60,37.00,1.54,1.17,0.76,73.00,3.04,1.62,0.53,43.00,1.79,0.75,0.42,4.83,2.37,0.57,0.61,6.70,2.60,9.90,0.80,7.30,0.42,0.38,0.79,6.50,110.40,104.10,16.28,12.21
Larry Nance Jr.,Cle,F-C,28.37,35.00,31.20,65.00,13.90,15.80,49.00,1.40,0.86,0.61,158.00,4.51,2.49,0.55,114.00,3.26,1.17,0.36,7.77,3.66,0.55,0.56,9.30,6.70,12.00,3.10,14.40,1.74,0.49,1.57,7.40,108.80,108.50,15.89,11.92
Aaron Nesmith,Bos,G-F,21.58,46.00,14.50,30.30,13.70,10.80,28.00,0.61,0.48,0.79,70.00,1.52,0.83,0.54,108.00,2.35,0.87,0.37,3.87,1.70,0.55,0.57,4.70,2.80,10.60,0.50,4.60,0.33,0.20,0.50,5.20,112.30,102.60,11.74,8.80
Raul Neto,Was,G,28.99,64.00,21.90,45.70,15.90,9.90,85.00,1.33,1.17,0.88,283.00,4.42,2.26,0.51,164.00,2.56,1.00,0.39,6.98,3.26,0.54,0.58,8.70,2.40,5.90,2.30,14.00,1.14,0.09,0.83,6.60,114.70,108.20,16.35,12.26
Georges Niang,Uta,F,27.92,72.00,16.00,33.40,17.40,10.90,23.00,0.32,0.31,0.96,113.00,1.57,0.74,0.47,292.00,4.06,1.72,0.43,5.63,2.46,0.59,0.60,6.90,2.40,8.10,0.80,7.30,0.36,0.10,0.71,5.90,113.70,101.50,13.96,10.47
Zeke Nnaji,Den,F-C,20.35,41.00,9.50,19.80,12.80,6.10,15.00,0.37,0.29,0.80,44.00,1.07,0.63,0.59,57.00,1.39,0.59,0.42,2.46,1.22,0.61,0.63,3.30,1.60,9.30,0.20,3.00,0.17,0.10,0.17,4.30,125.00,109.90,11.73,8.80
Nerlens Noel,Nyk,C-F,27.10,64.00,24.20,50.30,9.20,20.30,70.00,1.09,0.78,0.71,221.00,3.45,2.14,0.62,3.00,0.05,0.00,0.00,3.50,2.14,0.61,0.64,5.10,6.40,14.30,0.70,4.10,1.09,2.20,1.02,4.70,120.30,97.30,15.92,11.94
Jaylen Nowell,Min,G,21.86,42.00,18.10,37.60,21.40,7.20,55.00,1.31,1.07,0.82,185.00,4.40,2.19,0.50,150.00,3.57,1.19,0.33,7.98,3.38,0.50,0.53,9.00,2.30,6.80,1.50,12.50,0.52,0.29,0.67,6.90,106.80,110.30,16.03,12.02
Frank Ntilikina,Nyk,G,22.80,33.00,9.80,20.30,13.60,11.20,18.00,0.55,0.24,0.44,31.00,0.94,0.18,0.19,48.00,1.45,0.70,0.48,2.39,0.88,0.51,0.51,2.70,0.90,5.20,0.60,8.20,0.55,0.12,0.33,4.60,101.80,96.70,8.27,6.20
