NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PAT,2PA,2P%,2PM,3PAT,3PA,3P%,3PM,FGA,FGM,FG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,FTM,PER_n,PER,eFG%
Tyler Ennis,Mil,PG,21,46,14.2,29.6,17.1,0.186,34,0.735,148,3.217391304,0.48,1.544347826,39,0.847826087,0.333,0.282326087,4.065217391,1.826673913,0.449342246,0.51,4.5,1.6,6.5,2.1,21.8,0.54,0.02,7,0.54326087,14.69186879,11.01890159,0.484066845
Tyler Hansbrough,Cha,PF,30,44,7.8,16.2,14.7,0.108,65,0.585,68,1.545454545,0.441,0.681545455,3,0.068181818,0.667,0.045477273,1.613636364,0.727022727,0.450549296,0.522,2.4,2,14.2,0.2,3.5,0.27,0.16,5.1,0.864204545,12.18584821,9.139386161,0.464640845
Tyler Johnson,Mia,SG,23,36,24,49.9,16.8,0.148,64,0.797,172,4.777777778,0.529,2.527444444,71,1.972222222,0.38,0.749444444,6.75,3.276888889,0.485465021,0.579,8.7,3,7.2,2.2,13.9,0.67,0.39,6.4,1.416888889,16.79045114,12.59283836,0.540979424
Tyler Zeller,Bos,C,26,60,11.8,24.6,23,0.12,108,0.815,290,4.833333333,0.476,2.300666667,0,0,0,0,4.833333333,2.300666667,0.476,0.539,6.1,3,13.3,0.5,6.6,0.17,0.37,7.1,1.467,19.79230661,14.84422996,0.476
Tyreke Evans,Nor,PG,26,25,30.6,63.8,24.7,0.171,93,0.796,229,9.16,0.45,4.122,85,3.4,0.388,1.3192,12.56,5.4412,0.433216561,0.534,15.2,5.2,9.3,6.6,34.6,1.28,0.32,10.5,2.96112,25.25193927,18.93895446,0.485732484
Tyson Chandler,Pho,C,33,66,24.5,51.1,12.7,0.193,171,0.62,313,4.742424242,0.585,2.774318182,1,0.015151515,0,0,4.757575758,2.774318182,0.583136943,0.606,7.2,8.7,19.3,1,6,0.55,0.67,6.5,1.606363636,19.05973881,14.29480411,0.583136943
Tyus Jones,Min,PG,19,37,15.5,32.2,16.1,0.16,39,0.718,103,2.783783784,0.388,1.080108108,53,1.432432432,0.302,0.432594595,4.216216216,1.512702703,0.358782051,0.45,4.2,1.3,4.8,2.9,27.7,0.84,0.08,6.5,0.756810811,14.10147096,10.57610322,0.410083333
Udonis Haslem,Mia,PF,35,37,7,14.6,12.7,0.069,14,0.786,52,1.405405405,0.423,0.594486486,9,0.243243243,0.111,0.027,1.648648649,0.621486486,0.376967213,0.432,1.6,2,16.4,0.4,7.6,0.14,0.05,6.2,0.297405405,8.51756613,6.388174597,0.385155737
Victor Oladipo,Orl,SG,23,72,33.1,68.9,22.9,0.124,247,0.83,689,9.569444444,0.475,4.545486111,281,3.902777778,0.349,1.362069444,13.47222222,5.907555556,0.438498969,0.534,16,4.8,8.1,3.9,18.6,1.61,0.75,8.1,2.847361111,21.97714541,16.48285906,0.48905
Vince Carter,Mem,SG,39,60,16.8,34.9,18.5,0.084,84,0.833,174,2.9,0.425,1.2325,169,2.816666667,0.349,0.983016667,5.716666667,2.215516667,0.387553936,0.52,6.6,2.4,8.3,0.9,8.9,0.63,0.27,5.8,1.1662,14.76082722,11.07062041,0.47353207
Walter Tavares,Atl,C,23,11,6.6,13.7,17,0.182,8,0.375,19,1.727272727,0.579,1.000090909,0,0,0,0,1.727272727,1.000090909,0.579,0.555,2.3,1.9,15.8,0.3,6.4,0.09,0.55,6.6,0.272727273,15.92808627,11.9460647,0.579
Wayne Ellington,Bro,SG,28,76,21.3,44.3,17.5,0.071,63,0.857,293,3.855263158,0.416,1.603789474,268,3.526315789,0.358,1.262421053,7.381578947,2.866210526,0.388292335,0.498,7.7,2.3,6,1.1,7.7,0.63,0.07,5.1,0.710407895,12.02679771,9.020098284,0.473803922
Wesley Johnson,Lac,SF,28,80,20.8,43.4,16,0.092,46,0.652,206,2.575,0.51,1.31325,309,3.8625,0.333,1.2862125,6.4375,2.5994625,0.4038,0.513,6.9,3.1,8.1,0.6,4.4,1.11,0.7,4.5,0.3749,14.1655415,10.62415613,0.5037
Wesley Matthews,Dal,SG,29,78,33.9,70.6,17.2,0.078,146,0.863,329,4.217948718,0.432,1.822153846,525,6.730769231,0.36,2.423076923,10.94871795,4.245230769,0.387737705,0.532,12.5,3.1,4.9,1.9,8.9,1,0.22,4.9,1.615358974,13.5715052,10.1786289,0.498393443
Will Barton,Den,SG,25,82,28.7,59.8,23,0.112,268,0.806,658,8.024390244,0.476,3.819609756,325,3.963414634,0.345,1.367378049,11.98780488,5.186987805,0.432688708,0.535,14.4,5.8,11.2,2.5,14.4,0.87,0.48,8.3,2.634243902,21.19411983,15.89558987,0.489720753
Willie Cauley-Stein,Sac,C,22,66,21.4,44.6,13.2,0.105,125,0.648,337,5.106060606,0.567,2.895136364,2,0.03030303,0,0,5.136363636,2.895136364,0.563654867,0.588,7,5.3,13.5,0.6,3.8,0.73,1,5.3,1.227272727,18.11879797,13.58909848,0.563654867
Willie Reed,Bro,PF,25,39,10.9,22.7,18.1,0.092,55,0.545,133,3.41025641,0.571,1.94725641,0,0,0,0,3.41025641,1.94725641,0.571,0.579,4.7,3.1,16.1,0.3,3.8,0.15,0.77,6,0.768589744,19.80229111,14.85171833,0.571
Xavier Munford,Mem,SG,23,14,17.5,36.4,18,0.153,14,0.5,54,3.857142857,0.426,1.643142857,23,1.642857143,0.391,0.642357143,5.5,2.2855,0.415545455,0.481,5.7,2.2,7.2,1.6,14.3,0.93,0.21,6.2,0.5,13.98519631,10.48889723,0.473941558
Zach LaVine,Min,PG,20,82,28,58.3,23.5,0.129,203,0.793,644,7.853658537,0.481,3.777609756,316,3.853658537,0.389,1.499073171,11.70731707,5.276682927,0.450716667,0.548,14,2.8,5.8,3.1,18.6,0.84,0.21,7.1,1.963158537,19.61360506,14.71020379,0.514739583
Zach Randolph,Mem,PF,34,68,29.7,61.8,24.6,0.095,216,0.796,881,12.95588235,0.482,6.244735294,26,0.382352941,0.231,0.088323529,13.33823529,6.333058824,0.474804851,0.519,15.3,7.8,15,2.1,12.9,0.63,0.19,8.5,2.528470588,21.35229814,16.0142236,0.478115766
Zaza Pachulia,Dal,C,31,76,26.4,54.9,16.2,0.168,276,0.768,467,6.144736842,0.469,2.881881579,3,0.039473684,0,0,6.184210526,2.881881579,0.466006383,0.55,8.6,9.4,19.7,1.7,9.7,0.84,0.29,7.8,2.789052632,19.84059008,14.88044256,0.466006383
